Material: 316 Stainless Steel
Tension Test Strain Rate: 0.001/s
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)
7.446113e+000	1.598184e+001
7.458281e+000	1.599082e+001
7.474960e+000	1.599785e+001
7.489453e+000	1.600566e+001
7.501757e+000	1.601719e+001
7.511191e+000	1.602402e+001
7.523496e+000	1.603262e+001
7.535390e+000	1.604297e+001
7.548925e+000	1.604863e+001
7.564921e+000	1.605391e+001
7.575996e+000	1.606406e+001
7.585156e+000	1.607246e+001
7.600058e+000	1.607832e+001
7.613183e+000	1.608301e+001
7.627265e+000	1.609453e+001
7.639160e+000	1.610078e+001
7.653242e+000	1.611191e+001
7.661582e+000	1.611797e+001
7.679218e+000	1.612051e+001
7.691523e+000	1.612676e+001
7.702734e+000	1.613711e+001
7.715996e+000	1.614434e+001
7.731035e+000	1.615703e+001
7.738828e+000	1.616895e+001
7.753457e+000	1.617188e+001
7.765214e+000	1.618008e+001
7.782168e+000	1.618555e+001
7.793378e+000	1.619687e+001
7.808964e+000	1.620234e+001
7.816894e+000	1.621191e+001
7.830839e+000	1.622051e+001
7.846972e+000	1.622441e+001
7.859824e+000	1.623184e+001
7.871992e+000	1.624121e+001
7.885800e+000	1.624707e+001
7.903984e+000	1.625195e+001
7.911640e+000	1.626152e+001
7.922304e+000	1.626660e+001
7.935293e+000	1.627871e+001
7.946093e+000	1.628496e+001
7.962363e+000	1.628926e+001
7.974531e+000	1.629570e+001
7.983281e+000	1.630469e+001
7.998183e+000	1.631367e+001
8.013085e+000	1.631973e+001
8.021835e+000	1.632988e+001
8.036875e+000	1.633711e+001
8.048906e+000	1.634355e+001
8.062988e+000	1.635059e+001
8.075292e+000	1.635566e+001
8.087597e+000	1.636172e+001
8.100175e+000	1.637676e+001
8.111386e+000	1.638125e+001
8.124238e+000	1.639238e+001
8.136406e+000	1.640117e+001
8.154726e+000	1.640938e+001
8.165390e+000	1.641152e+001
8.179882e+000	1.641602e+001
8.191093e+000	1.642344e+001
8.202851e+000	1.642793e+001
8.214882e+000	1.643516e+001
8.226093e+000	1.645039e+001
8.241816e+000	1.645762e+001
8.248242e+000	1.646523e+001
8.262187e+000	1.647578e+001
8.278593e+000	1.647930e+001
8.291445e+000	1.648340e+001
8.300605e+000	1.649063e+001
8.315781e+000	1.649648e+001
8.328222e+000	1.650723e+001
8.338476e+000	1.651484e+001
8.353378e+000	1.652129e+001
8.367871e+000	1.652949e+001
8.378945e+000	1.653594e+001
8.388242e+000	1.653945e+001
8.400136e+000	1.654512e+001
8.412578e+000	1.655352e+001
8.427343e+000	1.656016e+001
8.441289e+000	1.656738e+001
8.455644e+000	1.657695e+001
8.466035e+000	1.658496e+001
8.479023e+000	1.658750e+001
8.496523e+000	1.659668e+001
8.507871e+000	1.660566e+001
8.519902e+000	1.661563e+001
8.530839e+000	1.662051e+001
8.543417e+000	1.663106e+001
8.550800e+000	1.663945e+001
8.567207e+000	1.664102e+001
8.580332e+000	1.665176e+001
8.590585e+000	1.665801e+001
